,Actor Ranking,Title,Year,Genre,Rating
0,1,Mord im Orient-Express,(2017),"Crime, Drama, Mystery",6.5
1,1,Fluch der Karibik,(2003),"Action, Adventure, Fantasy",8.1
2,1,21 Jump Street,(2012),"Action, Comedy, Crime",7.2
3,1,Tusk, (2014),"Comedy, Horror",5.3
4,1,Charlie und die Schokoladenfabrik,(2005),"Adventure, Comedy, Family",6.7
5,1,Phantastische Tierwesen: Grindelwalds Verbrechen,(2018),"Adventure, Family, Fantasy",6.5
6,1,Phantastische Tierwesen und wo sie zu finden sind,(2016),"Adventure, Family, Fantasy",7.2
7,1,Die neun Pforten,(1999),"Mystery, Thriller",6.7
8,1,Pirates of the Caribbean: Salazars Rache,(2017),"Action, Adventure, Fantasy",6.5
9,1,Edward mit den Scherenhänden,(1990),"Drama, Fantasy, Romance",7.9
10,1,Alice im Wunderland, (2010),"Adventure, Family, Fantasy",6.4
11,1,Warten auf die Barbaren,(2019),Drama,5.9
12,1,Platoon,(1986),"Drama, War",8.1
13,1,Gilbert Grape - Irgendwo in Iowa,(1993),Drama,7.7
14,1,Pirates of the Caribbean - Fluch der Karibik 2,(2006),"Action, Adventure, Fantasy",7.3
15,1,Nightmare - Mörderische Träume,(1984),Horror,7.4
16,1,Public Enemies,(2009),"Action, Biography, Crime",7.0
17,1,Pirates of the Caribbean - Fremde Gezeiten,(2011),"Action, Adventure, Fantasy",6.6
18,1,Sleepy Hollow,(1999),"Fantasy, Horror, Mystery",7.3
19,1,Sweeney Todd: Der teuflische Barbier aus der Fleet Street,(2007),"Drama, Horror, Musical",7.3
20,1,Pirates of the Caribbean - Am Ende der Welt,(2007),"Action, Adventure, Fantasy",7.1
21,1,Black Mass,(2015),"Biography, Crime, Drama",6.9
22,1,Angst und Schrecken in Las Vegas,(1998),"Adventure, Comedy, Drama",7.5
23,1,Into the Woods,(2014),"Adventure, Comedy, Drama",5.9
24,1,Donnie Brasco,(1997),"Biography, Crime, Drama",7.7
25,1,Hugo Cabret,(2011),"Adventure, Drama, Family",7.5
26,1,Blow,(2001),"Biography, Crime, Drama",7.5
27,1,Rango,(2011),"Animation, Action, Adventure",7.2
28,1,Transcendence, (2014),"Action, Drama, Sci-Fi",6.2
30,1,From Hell,(2001),"Horror, Mystery, Thriller",6.7
31,1,The Tourist, (2010),"Action, Thriller",6.0
32,1,Corpse Bride - Hochzeit mit einer Leiche,(2005),"Animation, Drama, Family",7.3
33,1,Cry-Baby,(1990),"Comedy, Musical",6.5
34,1,Chocolat... ein kleiner Biss genügt!,(2000),"Drama, Romance",7.3
35,1,Alice im Wunderland: Hinter den Spiegeln,(2016),"Adventure, Family, Fantasy",6.2
36,1,Wenn Träume fliegen lernen,(2004),"Biography, Drama, Family",7.7
37,1,Das Kabinett des Doktor Parnassus,(2009),"Adventure, Comedy, Fantasy",6.8
38,1,Irgendwann in Mexico,(2003),"Action, Crime, Thriller",6.3
39,1,Dark Shadows,(2012),"Comedy, Fantasy, Horror",6.2
40,1,Ed Wood,(1994),"Biography, Comedy, Drama",7.8
41,1,Lone Ranger,(2013),"Action, Adventure, Western",6.4
