,Ranking,Actor Names,About,Winnig Awards
0,1, Johnny Depp,"John Christopher ""Johnny"" Depp II was born on June 9, 1963 in Owensboro, Kentucky, to Betty Sue Palmer (née Wells), a waitress, and John Christopher Depp, a civil engineer. He was raised in Florida. He dropped out of school when he was 15, and fronted a series of music-garage bands, including one named 'The Kids'. When he married Lori A. Depp, he took a job as a ballpoint-pen salesman to support himself and his wife. A visit to Los Angeles, California, with his wife, however, happened to be a blessing in disguise, when he met up with actor Nicolas Cage, who advised him to turn to acting, which culminated in Depp's film debut in the low-budget horror film, Nightmare - Mörderische Träume (1984), where he played a teenager who falls prey to dream-stalking demon Freddy Krueger.In 1987 he shot ...",81
1,2, Al Pacino,"Alfredo James ""Al"" 'Pacino established himself as a film actor during one of cinema's most vibrant decades, the 1970s, and has become an enduring and iconic figure in the world of American movies.He was born April 25, 1940 in Manhattan, New York City, to Italian-American parents, Rose (nee Gerardi) and Sal Pacino. They divorced when he was young. His mother moved them into his grandparents' home in the South Bronx. Pacino found himself often repeating the plots and voices of characters he had seen in the movies. Bored and unmotivated in school, he found a haven in school plays, and his interest soon blossomed into a full-time career. Starting onstage, he went through a period of depression and poverty, sometimes having to borrow bus fare to succeed to auditions. He made it into the prestig...",53
2,3, Robert De Niro,"One of the greatest actors of all time, Robert De Niro was born on August 17, 1943 in Manhattan, New York City, to artists Virginia (Admiral) and Robert De Niro Sr. His paternal grandfather was of Italian descent, and his other ancestry is Irish, English, Dutch, German, and French. He was trained at the Stella Adler Conservatory and the American Workshop. De Niro first gained fame for his role in Das letzte Spiel (1973), but he gained his reputation as a volatile actor in Hexenkessel (1973), which was his first film with director Martin Scorsese. He received an Academy Award for Best Supporting Actor for his role in Der Pate 2 (1974) and received Academy Award nominations for best actor in Taxi Driver (1976), Die durch die Hölle gehen (1978) and Kap der Angst (1991). He received the Academ...",68
3,4, Kevin Spacey,"Kevin Spacey Fowler, better known by his stage name Kevin Spacey, is an American actor of screen and stage, film director, producer, screenwriter and singer. He began his career as a stage actor during the 1980s before obtaining supporting roles in film and television. He gained critical acclaim in the early 1990s that culminated in his first Academy Award for Best Supporting Actor for the neo-noir crime thriller The Usual Suspects (1995), and an Academy Award for Best Actor for midlife crisis-themed drama American Beauty (1999).His other starring roles have included the comedy-drama film Swimming with Sharks (1994), psychological thriller Seven (1995), the neo-noir crime film L.A. Confidential (1997), the drama Pay It Forward (2000), the science fiction-mystery film K-PAX (2001)In Broadwa...",59
4,5, Denzel Washington,"Denzel Hayes Washington, Jr. was born on December 28, 1954 in Mount Vernon, New York. He is the middle of three children of a beautician mother, Lennis, from Georgia, and a Pentecostal minister father, Denzel Washington, Sr., from Virginia. After graduating from high school, Denzel enrolled at Fordham University, intent on a career in journalism. However, he caught the acting bug while appearing in student drama productions and, upon graduation, he moved to San Francisco and enrolled at the American Conservatory Theater. He left A.C.T. after only one year to seek work as an actor. His first paid acting role was in a summer stock theater stage production in St. Mary's City, Maryland. The play was ""Wings of the Morning"", which is about the founding of the colony of Maryland (now the state of...",87
5,6, Russell Crowe,"Russell Ira Crowe was born in Wellington, New Zealand, to Jocelyn Yvonne (Wemyss) and John Alexander Crowe, both of whom catered movie sets. His maternal grandfather, Stanley Wemyss, was a cinematographer. Crowe's recent ancestry includes Welsh (where his paternal grandfather was born, in Wrexham), English, Irish, Scottish, Norwegian, Swedish, Italian, and Maori (one of Crowe's maternal great-grandmothers, Erana Putiputi Hayes Heihi, was Maori).Crowe's family moved to Australia when he was a small child, settling in Sydney, and Russell got the acting bug early in life. Beginning as a child star on a local Australian TV show, Russell's first big break came with two films ... the first, Romper Stomper (1992), gained him a name throughout the film community in Australia and the neighboring co...",37
6,7, Brad Pitt,"William Bradley ""Brad"" Pitt was born on December 18, 1963 in Shawnee, Oklahoma and raised in Springfield, Missouri to Jane Etta Pitt (née Hillhouse), a school counselor & William Alvin ""Bill"" Pitt, a truck company manager. At Kickapoo High School, Pitt was involved in sports, debating, student government and school musicals. Pitt attended the University of Missouri, where he majored in journalism with a focus on advertising. He occasionally acted in fraternity shows. He left college two credits short of graduating to move to California. Before he became successful at acting, Pitt supported himself by driving strippers in limos, moving refrigerators and dressing as a giant chicken while working for El Pollo Loco.Pitt's earliest credited roles were in television, starting on the daytime soap...",122
7,8, Angelina Jolie,"Angelina Jolie is an Academy Award-winning actress who rose to fame after her role in Durchgeknallt (1999), playing the title role in the ""Lara Croft"" blockbuster movies, as well as Mr. & Mrs. Smith (2005), Wanted (2008), Salt (2010) and Maleficent - Die dunkle Fee (2014). Off-screen, Jolie has become prominently involved in international charity projects, especially those involving refugees. She often appears on many ""most beautiful women"" lists, and she has a personal life that is avidly covered by the tabloid press.Jolie was born Angelina Jolie Voight in Los Angeles, California. In her earliest years, Angelina began absorbing the acting craft from her actor parents, Jon Voight, an Oscar-winner, and Marcheline Bertrand, who had studied with Lee Strasberg. Her good looks may derive from h...",58
8,9, Leonardo DiCaprio,"Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings, as a supporting cast member of the sitcom Unser lautes Heim (1985) and low budget horror movies, such as Critters 3 - Die Kuschelkiller kommen (1991), to a major teenage heartthrob in the 1990s, as the hunky lead actor in movies such as William Shakespeares Romeo & Julia (1996) and Titanic (1997), to then become a leading man in Hollywood blockbusters, made by internationally renowned directors such as Martin Scorsese and Christopher Nolan.Leonardo Wilhelm DiCaprio was born November 11, 1974 in Los Angeles, California, the only child of Irmelin DiCaprio (née Indenbirken) and former comic book artist George DiCaprio. His father is of Italian and German desc...",102
9,10, Tom Cruise,"In 1976, if you had told fourteen-year-old Franciscan seminary student Thomas Cruise Mapother IV that one day in the not too distant future he would be Tom Cruise, one of the top 100 movie stars of all time, he would have probably grinned and told you that his ambition was to join the priesthood. Nonetheless, this sensitive, deeply religious youngster who was born in 1962 in Syracuse, New York, was destined to become one of the highest paid and most sought after actors in screen history.Tom is the only son (among four children) of nomadic parents, Mary Lee (Pfeiffer), a special education teacher, and Thomas Cruise Mapother III, an electrical engineer. His parents were both from Louisville, Kentucky, and he has German, Irish, and English ancestry. Young Tom spent his boyhood always on the m...",57
10,11, John Travolta,"John Joseph Travolta was born in Englewood, New Jersey, one of six children of
Helen Travolta (née Helen Cecilia Burke) and Salvatore/Samuel J. Travolta. His father was of Italian descent and his
mother was of Irish ancestry. His father owned a tire repair shop
called Travolta Tires in Hillsdale, NJ. Travolta started acting appearing in a local
production of ""Who'll Save the Plowboy?"". His mother, herself an
actress and dancer, enrolled him in a drama school in New York, where
he studied voice, dancing and acting. He decided to combine all three
of these skills and become a musical comedy performer. At 16 he landed
his first professional job in a summer stock production of the musical
""Bye Bye Birdie"". He quit school at 16 and moved to New York, and
worked regularly in summer stock and on ...",52
11,12, Arnold Schwarzenegger,"With an almost unpronounceable surname and a thick Austrian accent, who
would have ever believed that a brash, quick talking bodybuilder from a
small European village would become one of Hollywood's biggest stars,
marry into the prestigious Kennedy family, amass a fortune via shrewd
investments and one day be the Governor of California!?The amazing story of megastar Arnold Schwarzenegger is a true ""rags to
riches"" tale of a penniless immigrant making it in the land of
opportunity, the United States of America. Arnold Alois Schwarzenegger was born July 30, 1947, in the town of Thal, Styria, Austria, to Aurelia Schwarzenegger (born Jadrny) and Gustav
Schwarzenegger, the local police chief. From a young age, he took a
keen interest in physical fitness and bodybuilding, going on to compete
in ...",30
12,13, Sylvester Stallone,"Sylvester Stallone is a athletically built, dark-haired American actor/screenwriter/director/producer, the movie fans worldwide have been flocking to see Stallone's films for over 40 years, making ""Sly"" one of Hollywood's biggest-ever box office draws.Sylvester Stallone was born on July 6, 1946, in New York's gritty
Hell's Kitchen, to Jackie Stallone (née
Labofish), an astrologer, and
Frank Stallone, a beautician
and hairdresser. His father was an Italian immigrant, and his mother's
heritage is half French (from Brittany) and half German. The
young Stallone attended the American College of Switzerland and the
University of Miami, eventually obtaining a B.A. degree. Initially, he
struggled in small parts in films such as the soft-core
Randy - Die Sexabenteuer des Sylvester Stallone (1970),
...",64
